Late_Delivery_Risk,Sales,Order_Item_Quantity,Order_Profit_Per_Order,Days_Scheduled,Category_Name,Customer_Segment,Shipping_Type,Customer_Country,Order_Country,Month_Name,Day_of_Week
0,299.98,1,88.79,4,Camping & Hiking,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,199.99,1,91.18,4,Water Sports,Consumer,PAYMENT,EE. UU.,Colombia,January,Thursday
0,250.00,5,68.25,4,Women's Apparel,Consumer,PAYMENT,EE. UU.,Colombia,January,Thursday
0,129.99,1,36.47,4,Men's Footwear,Consumer,PAYMENT,EE. UU.,Colombia,January,Thursday
1,49.98,2,4.10,4,Accessories,Home Office,CASH,EE. UU.,Colombia,January,Thursday
1,299.95,5,26.13,4,Cleats,Home Office,CASH,EE. UU.,Colombia,January,Thursday
1,150.00,3,60.27,4,Women's Apparel,Home Office,CASH,EE. UU.,Colombia,January,Thursday
1,199.92,4,33.59,4,Indoor/Outdoor Games,Home Office,CASH,EE. UU.,Colombia,January,Thursday
1,299.98,1,92.24,4,Camping & Hiking,Consumer,DEBIT,Puerto Rico,Colombia,January,Thursday
1,299.95,5,143.98,4,Cleats,Consumer,DEBIT,Puerto Rico,Colombia,January,Thursday
1,99.96,2,9.38,4,Indoor/Outdoor Games,Consumer,DEBIT,Puerto Rico,Colombia,January,Thursday
1,299.98,1,109.55,4,Camping & Hiking,Consumer,DEBIT,Puerto Rico,Colombia,January,Thursday
1,129.99,1,34.94,4,Men's Footwear,Consumer,DEBIT,Puerto Rico,Colombia,January,Thursday
1,199.99,1,78.40,2,Water Sports,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,299.98,1,120.95,2,Camping & Hiking,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,79.95,5,4.58,2,Trade-In,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
0,179.97,3,16.88,4,Cleats,Corporate,TRANSFER,Puerto Rico,Brasil,January,Thursday
0,299.95,5,73.11,4,Cleats,Corporate,TRANSFER,Puerto Rico,Brasil,January,Thursday
0,199.92,4,-131.15,4,Indoor/Outdoor Games,Corporate,TRANSFER,Puerto Rico,Brasil,January,Thursday
0,50.00,1,1.49,4,Women's Apparel,Corporate,TRANSFER,Puerto Rico,Brasil,January,Thursday
1,199.98,2,3.80,4,Cardio Equipment,Consumer,PAYMENT,EE. UU.,Brasil,January,Thursday
1,199.99,1,19.80,4,Water Sports,Consumer,PAYMENT,EE. UU.,Brasil,January,Thursday
1,199.99,1,96.00,4,Water Sports,Consumer,PAYMENT,EE. UU.,Brasil,January,Thursday
1,199.99,1,72.00,4,Water Sports,Corporate,PAYMENT,EE. UU.,Brasil,January,Thursday
1,99.96,2,22.67,4,Indoor/Outdoor Games,Corporate,PAYMENT,EE. UU.,Brasil,January,Thursday
1,129.99,1,28.73,4,Men's Footwear,Corporate,PAYMENT,EE. UU.,Brasil,January,Thursday
1,21.99,1,-15.64,4,Trade-In,Corporate,PAYMENT,EE. UU.,Brasil,January,Thursday
1,199.99,1,-14.08,4,Water Sports,Corporate,PAYMENT,EE. UU.,Brasil,January,Thursday
0,59.99,1,16.80,4,Cleats,Corporate,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,159.96,4,56.99,4,Shop By Sport,Corporate,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,49.98,1,19.50,4,Indoor/Outdoor Games,Corporate,PAYMENT,Puerto Rico,Brasil,January,Thursday
